Patience_Tau,Replace_Frac,Mean_Fitness
5,0.2,8.821983688752274e-06
5,0.3,2.1034497497870084e-06
5,0.5,9.56249662446377e-06
5,0.7,2.2265444764949884e-06
10,0.2,4.520008985764434e-06
10,0.3,2.3207411459225114e-07
10,0.5,6.2197666276612535e-06
10,0.7,6.153289101954821e-07
15,0.2,1.1702615931123244e-06
15,0.3,9.733761563287166e-06
15,0.5,2.4178593283371203e-05
15,0.7,5.996023636119692e-06
20,0.2,5.905432866863218e-06
20,0.3,4.144521180175313e-06
20,0.5,5.639036847545261e-06
20,0.7,6.231771976672462e-06
