Dimension,Benchmark,Algorithm,Mean_Fitness
30,Sphere,AOBL-SOS,1.904963429877985e-17
30,Sphere,SOS,1.8492499912154473e-17
30,Sphere,PSO,139.65177881988456
30,Sphere,DE,46501.69380753959
30,Sphere,GWO,6.681424656323073e-08
30,Rastrigin,AOBL-SOS,2.615258760367093e-06
30,Rastrigin,SOS,3.838408701994922e-09
30,Rastrigin,PSO,96.3500987217346
30,Rastrigin,DE,378.5038280277311
30,Rastrigin,GWO,43.37107038753862
30,Rosenbrock,AOBL-SOS,28.84830020164505
30,Rosenbrock,SOS,28.841097686220525
30,Rosenbrock,PSO,4008.1719590435423
30,Rosenbrock,DE,154723565.30850753
30,Rosenbrock,GWO,27.68311137275356
30,Ackley,AOBL-SOS,8.015779151548941e-10
30,Ackley,SOS,2.349501186197737e-09
30,Ackley,PSO,4.3006830871125485
30,Ackley,DE,20.200841977395857
30,Ackley,GWO,7.524992339395335e-05
50,Sphere,AOBL-SOS,5.195091404398578e-17
50,Sphere,SOS,3.6880020062325885e-16
50,Sphere,PSO,750.4208869826944
50,Sphere,DE,111060.00709653662
50,Sphere,GWO,0.00014320261070229276
50,Rastrigin,AOBL-SOS,2.2856077066535363e-06
50,Rastrigin,SOS,1.180207694536269e-08
50,Rastrigin,PSO,256.5515702164282
50,Rastrigin,DE,704.3277543567743
50,Rastrigin,GWO,91.88316954987135
50,Rosenbrock,AOBL-SOS,48.861545480025676
50,Rosenbrock,SOS,48.78151378610186
50,Rosenbrock,PSO,55838.962052059294
50,Rosenbrock,DE,436518687.1829347
50,Rosenbrock,GWO,50.841022775496015
50,Ackley,AOBL-SOS,4.6105267751765194e-10
50,Ackley,SOS,1.38246436520717e-09
50,Ackley,PSO,6.30082496309666
50,Ackley,DE,20.48298088606604
50,Ackley,GWO,0.0038931099520742585
100,Sphere,AOBL-SOS,1.7604376927663365e-17
100,Sphere,SOS,3.704326752919828e-16
100,Sphere,PSO,6678.882099349753
100,Sphere,DE,262466.55173722765
100,Sphere,GWO,0.16569287490313814
100,Rastrigin,AOBL-SOS,4.6353913300360244e-10
100,Rastrigin,SOS,7.897445660394926e-11
100,Rastrigin,PSO,650.0460957677285
100,Rastrigin,DE,1445.1687828879974
100,Rastrigin,GWO,293.13906076320944
100,Rosenbrock,AOBL-SOS,98.86753594834524
100,Rosenbrock,SOS,98.87758097375657
100,Rosenbrock,PSO,1214075.902850584
100,Rosenbrock,DE,1129709589.5541399
100,Rosenbrock,GWO,134.67559215680728
100,Ackley,AOBL-SOS,9.468270611989738e-10
100,Ackley,SOS,1.8043952998425539e-09
100,Ackley,PSO,9.770480702718375
100,Ackley,DE,20.90922893712781
100,Ackley,GWO,0.07648514940444828
200,Sphere,AOBL-SOS,5.068773899588338e-16
200,Sphere,SOS,1.0634253700404994e-15
200,Sphere,PSO,27499.76618020212
200,Sphere,DE,551341.362091107
200,Sphere,GWO,33.641466478441735
200,Rastrigin,AOBL-SOS,4.0677150536794215e-10
200,Rastrigin,SOS,1.524540493846871e-09
200,Rastrigin,PSO,1483.6023973829163
200,Rastrigin,DE,3079.713602351096
200,Rastrigin,GWO,878.5851919615594
200,Rosenbrock,AOBL-SOS,198.82800933988776
200,Rosenbrock,SOS,198.89062696491132
200,Rosenbrock,PSO,14772148.08838
200,Rosenbrock,DE,2432257657.3264165
200,Rosenbrock,GWO,5100.742894148224
200,Ackley,AOBL-SOS,8.744760471302016e-10
200,Ackley,SOS,1.5870722513966484e-09
200,Ackley,PSO,12.84191145449194
200,Ackley,DE,20.84393392237138
200,Ackley,GWO,2.6242359320137107
